anchorage_object_id,anchorage_name,episode_count,vessel_count,complete_episode_count,median_complete_duration_minutes,p90_complete_duration_minutes,max_complete_duration_minutes,total_pings
314,Long Beach Harbor Anchorage B,216,66,54,11.0,27.90000000000002,1381,7084.0
304,Long Beach Harbor Anchorage D,91,41,36,4.0,75.0,1896,1435.0
311,[unnamed feature],68,36,30,7.0,135.10000000000025,1722,3500.0
313,Long Beach Harbor Anchorage E,128,30,26,4.5,24.0,33,549.0
298,Long Beach Harbor Anchorage Area Q,31,23,20,1.5,12.200000000000003,32,105.0
297,Commercial Anchorage F (outside of Long Beach Breakwater),30,27,20,17.0,706.7000000000003,1361,5527.0
296,[unnamed feature],24,19,18,0.5,6.5000000000000036,11,49.0
293,Long Beach Harbor Anchorage D,24,19,17,2.0,21.4,25,104.0
310,Los Angeles and Long Beach Harbor Area A-2,31,14,11,0.0,10.0,24,121.0
306,Long Beach Harbor Anchorage C and Los Angeles and Long Beach Harbor Area C-1,16,10,9,0.0,16.800000000000004,32,2220.0
303,Los Angeles and Long Beach Harbor Anchorage Area E-1,35,10,8,2.5,13.999999999999996,28,80.0
307,Commercial Anchorage F (outside of Long Beach Breakwater),11,8,6,9.0,20.0,28,1316.0
300,Anaheim Bay Harbor East Side Naval Explosives Anchorage Area,8,7,6,2.0,3.5,4,27.0
68,Outside Breakwater Anchorage Area G,9,7,5,15.0,25.6,32,2028.0
295,Long Beach Harbor Anchorage Area C-1,8,5,5,1.0,2.6,3,13.0
312,Long Beach Harbor Anchorage P,7,6,5,0.0,7.6,8,31.0
309,[unnamed feature],5,4,4,2.0,15.900000000000002,21,11.0
299,Long Beach Harbor Anchorage  Area P,5,3,3,4.0,10.400000000000002,12,21.0
315,Outside Breakwater Anchorage G,2,2,2,0.0,0.0,0,2.0
67,Outside Breakwater Anchorage Area F,2,2,2,2.5,4.5,5,5.0
69,[unnamed feature],2,2,2,0.0,0.0,0,2.0
308,Los Angeles and Long Beach Harbor Anchorage Area B-1,3,3,1,7.0,7.0,7,702.0
