mmsi,observed_at_utc,latitude,longitude,sog_knots,cog_degrees,heading_degrees,anchorage_object_id,anchorage_name,record_hash
477131300,2024-12-28 09:19:45+01:00,33.72835,-118.19674,3.8,271.4,273.0,314,Long Beach Harbor Anchorage B,8462ff0cb80a8bb6878b62e04181a85e1395ba9b1db4b49197116465563daa2a
477131300,2024-12-28 09:20:53+01:00,33.72843,-118.19831,3.7,272.8,272.0,314,Long Beach Harbor Anchorage B,99e56b185b7b69ddffe2580bc38ccf9b6b9d4993d9ae0cfb286df1ee6e0bf126
477131300,2024-12-28 09:22:03+01:00,33.72848,-118.1997,3.4,271.6,270.0,314,Long Beach Harbor Anchorage B,f8e9aa3bf8545107958814a9bf7caa84899f9fe1f977af48ae07e058007438dd
477131300,2024-12-28 09:23:12+01:00,33.72848,-118.20068,2.8,267.9,270.0,314,Long Beach Harbor Anchorage B,f89d4af3a86d03c0b3b547ca3af09dc0d3e6d1bf5a9f7206845ef7c647a17f5e
477131300,2024-12-28 09:24:24+01:00,33.72838,-118.20152,1.8,260.5,277.0,314,Long Beach Harbor Anchorage B,50abfcd84842be0b24ccf74d8e1701479616e9e82dbbc6eb1733e82921a294d8
477131300,2024-12-28 09:25:34+01:00,33.7283,-118.20207,1.3,261.8,287.0,314,Long Beach Harbor Anchorage B,47556dbd61b9a5cf356765079ef546305f5b6f643d7236827acbbd290f994fe7
477131300,2024-12-28 09:27:03+01:00,33.72821,-118.20258,0.9,261.1,299.0,314,Long Beach Harbor Anchorage B,0a01e1d63e853b9b338e2cf1e21023ca484fa8bdad073ff3cceb5b5535dfac85
477131300,2024-12-28 09:28:13+01:00,33.72815,-118.20281,0.5,253.7,309.0,314,Long Beach Harbor Anchorage B,4522eef03d0f7e5c5aa3921b099c5cca740828a50af4d7921faf7e96bbd1967b
477131300,2024-12-28 09:29:23+01:00,33.72812,-118.203,0.4,261.1,319.0,314,Long Beach Harbor Anchorage B,71501330ce08432f6d32d7fcf625ce1dfd14d77afceaf9bd71f82197cdd2b3bb
477131300,2024-12-28 09:30:34+01:00,33.7281,-118.20316,0.4,271.9,327.0,314,Long Beach Harbor Anchorage B,570bc21b5e88cbdeae9df5ee0d92bb343a3cf5111393d2408f6f534f560df184
477131300,2024-12-28 09:31:53+01:00,33.72811,-118.20333,0.4,287.3,337.0,314,Long Beach Harbor Anchorage B,770f6866765b1ed671d977d6e0a813aa58c74f10c98b187066c2c2316357a430
477131300,2024-12-28 09:33:02+01:00,33.72812,-118.20346,0.3,275.4,345.0,314,Long Beach Harbor Anchorage B,d1a32d82d3846954fb05f515963a83f25616fdbc663a358a4e28809b0769667e
477131300,2024-12-28 09:34:03+01:00,33.72812,-118.20356,0.3,275.4,352.0,314,Long Beach Harbor Anchorage B,3c0b056e340c4af1c3cbea7bcb47aba7b76bd32e79872aacf6db2b36ecd06284
477131300,2024-12-28 09:35:13+01:00,33.72813,-118.20367,0.3,291.4,1.0,314,Long Beach Harbor Anchorage B,7b5f9949b63bde0781d69a2ea05d2ed859f2181e70b0cbe11b26fcd8007d6f0c
477131300,2024-12-28 09:37:38+01:00,33.72818,-118.20385,0.2,307.0,13.0,314,Long Beach Harbor Anchorage B,d2d388d00149055d3107ac1dcf41d61ea343a3c8c6f6734e81c04785dbf746a8
477131300,2024-12-28 09:40:38+01:00,33.7282,-118.20395,0.1,313.2,18.0,314,Long Beach Harbor Anchorage B,bcb90252784304b75c893eeeecac97a57cee040c6a5d51b4daa8b9f86f15564d
477131300,2024-12-28 09:43:38+01:00,33.72819,-118.20395,0.0,306.8,15.0,314,Long Beach Harbor Anchorage B,0e50736b7aa0e47b25599b0be77be02f3d8b2fe8f00bb1f9fc21dc7afc9a100f
477131300,2024-12-28 09:46:38+01:00,33.72818,-118.20392,0.1,6.4,13.0,314,Long Beach Harbor Anchorage B,57d8fd671082d251a4975044260364ed5bf5b0dc1a6794db951fae079fd257ff
477131300,2024-12-28 09:49:38+01:00,33.72817,-118.20393,0.1,307.2,13.0,314,Long Beach Harbor Anchorage B,5fddcb90ff73268c169eb7590aa274d99f0175c674526687bb8de55e623162d7
477131300,2024-12-28 09:52:38+01:00,33.72814,-118.20394,0.0,313.5,15.0,314,Long Beach Harbor Anchorage B,f8095861031f8b3497216be9b5fae03e4ae7bf8f75a0e1d58bdf266cd2726af5
477131300,2024-12-28 09:55:38+01:00,33.72816,-118.20398,0.1,359.3,16.0,314,Long Beach Harbor Anchorage B,30eca0db5465fb4eeadfe697b054617c8c249c7ea067803b98ac20225f2f6a06
477131300,2024-12-28 09:58:38+01:00,33.72813,-118.20395,0.0,43.4,15.0,314,Long Beach Harbor Anchorage B,feb7d8edcf5f68bc3cc86e3dc3d5100f0c58ff1d4e87b53e16a8321bbfc9e19f
477131300,2024-12-28 10:01:38+01:00,33.7281,-118.20392,0.0,277.0,13.0,314,Long Beach Harbor Anchorage B,a7235cfcb6ace7a9f043c98799df8faf50f9380c21a8ad7d9bceb53bddfc6eed
477131300,2024-12-28 10:04:38+01:00,33.72812,-118.20389,0.1,41.7,10.0,314,Long Beach Harbor Anchorage B,841bec8734bbcbf214cd7e913bd3a3142fa9bfca6449e28f363931677209edb1
477131300,2024-12-28 10:07:38+01:00,33.72813,-118.20387,0.0,16.6,9.0,314,Long Beach Harbor Anchorage B,9385c2524470ad41404ec07871b4c40898a99b875fbb9c3d3615d4e74e8ccc16
477131300,2024-12-28 10:10:38+01:00,33.72813,-118.20385,0.0,16.6,8.0,314,Long Beach Harbor Anchorage B,a0ae3173f2d1a6e3ce4b510f924b1818c44fdf0cc14cf388d78a81dc2d65d083
477131300,2024-12-28 10:13:38+01:00,33.72814,-118.20382,0.0,283.6,9.0,314,Long Beach Harbor Anchorage B,f1015c07a24fe2baec7baffe91a6591ede7d43766f4b8bcde6f59ae60e196af3
477131300,2024-12-28 10:16:38+01:00,33.72816,-118.20388,0.1,281.0,11.0,314,Long Beach Harbor Anchorage B,6bec0a8a0d9941d6a2761a7989e818b406cfece0866b88e07c43a9b2c77f2282
477131300,2024-12-28 10:19:38+01:00,33.72818,-118.2039,0.0,278.9,13.0,314,Long Beach Harbor Anchorage B,f206f464f76325080c79b1b0ee8335cc439a3acaa49549862f2a2d0ebc6d7216
477131300,2024-12-28 10:25:38+01:00,33.72818,-118.20391,0.0,273.1,13.0,314,Long Beach Harbor Anchorage B,32dc9eb8a7fe7a83de023ad6a33620a7a7ee1ed4a7772b13b6e82d057f41d5e1
477131300,2024-12-28 10:28:38+01:00,33.72819,-118.20393,0.1,255.7,12.0,314,Long Beach Harbor Anchorage B,5ec90583e619d0e497fff5793218b39ed294ff5403a80d2eac0c2ac48a3c36a1
477131300,2024-12-28 10:31:38+01:00,33.72821,-118.20397,0.1,260.8,12.0,314,Long Beach Harbor Anchorage B,26b22274b7e473cf919be94f1bc71462ee33e26048e21f1d47dd10f016380525
477131300,2024-12-28 10:34:38+01:00,33.72821,-118.20398,0.1,284.5,12.0,314,Long Beach Harbor Anchorage B,c9c472db68b12e64fdb0e286c59e201fd54506611674aa8086ff3937cad858df
477131300,2024-12-28 10:37:38+01:00,33.72824,-118.20399,0.1,274.5,13.0,314,Long Beach Harbor Anchorage B,9c05d94dcf47445ed168314483cb1e92f2cc636623681494381e8045342b3760
477131300,2024-12-28 10:46:38+01:00,33.72823,-118.20415,0.2,259.8,17.0,314,Long Beach Harbor Anchorage B,f9502dba54ab947a6e076ef21c70b1b81394b102b786dfeb9170e1c41a339da9
477131300,2024-12-28 10:52:38+01:00,33.72827,-118.20433,0.1,243.4,22.0,314,Long Beach Harbor Anchorage B,22127186bd43d27bdcb1b350c695d02df9fa9fea5be76f045f0fc58c67b80bb8
477131300,2024-12-28 10:55:38+01:00,33.72827,-118.20443,0.1,246.8,25.0,314,Long Beach Harbor Anchorage B,81d3b9226ea0f9d7ef69339a9a6dad2c2ab678b3a931bd6b4b29f8238022d0e9
477131300,2024-12-28 10:58:38+01:00,33.72829,-118.20453,0.2,260.4,28.0,314,Long Beach Harbor Anchorage B,23d56a4137e651f6ae167e268a36dbc925556bc312d8cb2bfd17c38fa37b2486
477131300,2024-12-28 11:01:38+01:00,33.72831,-118.20462,0.1,255.8,31.0,314,Long Beach Harbor Anchorage B,b259136b039c61f50b1c60bc5f2ce301a655d3af388636fce07a60853da4a225
477131300,2024-12-28 11:04:38+01:00,33.72834,-118.20469,0.1,260.4,34.0,314,Long Beach Harbor Anchorage B,0f23354112a6a8c83b6425fbf74b561844dff71c20fa3cfa21998c760287b989
477131300,2024-12-28 11:07:38+01:00,33.72834,-118.20478,0.1,264.8,37.0,314,Long Beach Harbor Anchorage B,adf18b678b21009cb29bd6acb1bd8ef912c18530d0cd657639ee7d12ea8f4a69
477131300,2024-12-28 11:10:38+01:00,33.72837,-118.20485,0.1,273.1,40.0,314,Long Beach Harbor Anchorage B,85df2a86d3e43e1be0f1c40e427d38158a467b1f54936115c1b8e6ad19279be5
477131300,2024-12-28 11:13:38+01:00,33.7284,-118.20491,0.1,277.5,42.0,314,Long Beach Harbor Anchorage B,22a595c338a38faee9e9db68d988f634630ebce455a7171bfa5f585b8da91bab
477131300,2024-12-28 11:16:38+01:00,33.72847,-118.20495,0.1,280.7,45.0,314,Long Beach Harbor Anchorage B,716fed130222ad2d07f9c792d4e15c8c8551cc3ea002b2597784f675e4294a00
477131300,2024-12-28 11:19:38+01:00,33.72854,-118.20499,0.1,250.7,47.0,314,Long Beach Harbor Anchorage B,e4171b776c0804bb504ea830c2bd530b2b7d181f690604849a731bb8472ac3b2
477131300,2024-12-28 11:22:38+01:00,33.72858,-118.20503,0.1,306.5,49.0,314,Long Beach Harbor Anchorage B,5369e5841ade354a541ef01bdb64aa424b9075507d72adeb4e7b8b2f4faa06a4
477131300,2024-12-28 11:28:38+01:00,33.72866,-118.20508,0.1,268.8,54.0,314,Long Beach Harbor Anchorage B,4c9209c838d1681396f78bcca2e1bdbe2f71ca9a7d9f9d6d92db3f2188e9c9c9
477131300,2024-12-28 11:31:38+01:00,33.72873,-118.2051,0.1,301.9,56.0,314,Long Beach Harbor Anchorage B,c0de363d08d23e55d1262f84474576c970f94e18f256e29eea42ece642a5ed68
477131300,2024-12-28 11:34:38+01:00,33.72878,-118.20514,0.1,243.7,57.0,314,Long Beach Harbor Anchorage B,6a3ed71cd274d2d3da76926bfb910e701ebde635ecad31ae4ef2b27e17c9496d
477131300,2024-12-28 11:37:38+01:00,33.72881,-118.20517,0.1,264.1,59.0,314,Long Beach Harbor Anchorage B,0cd20bc101a594aab89439711f8ef14781d72b58e6f30bd924a5cf45dc6505e1
477131300,2024-12-28 11:40:38+01:00,33.72885,-118.2052,0.1,281.8,60.0,314,Long Beach Harbor Anchorage B,dd25877d66e8ff0b62cf2d8545f1e28a8178cbc71b00e42df737f5dcaf890149
477131300,2024-12-28 11:43:38+01:00,33.72886,-118.20524,0.1,268.1,62.0,314,Long Beach Harbor Anchorage B,5f570aa9bbdbd030d606a6f331e3987d78255f57ffbeca3afcef30197c5972ca
477131300,2024-12-28 11:46:38+01:00,33.72888,-118.20529,0.1,274.1,63.0,314,Long Beach Harbor Anchorage B,472750387aa5df12c20be314276ba86b600eab6e953b115eee8cd2b897d48cfe
477131300,2024-12-28 11:49:38+01:00,33.72889,-118.20533,0.1,266.3,64.0,314,Long Beach Harbor Anchorage B,9cd14cfd0da5c643089c4dcde5e8966495e18a5e306d3e7fb5c109d066bffa6d
477131300,2024-12-28 11:52:38+01:00,33.72893,-118.20538,0.1,237.9,64.0,314,Long Beach Harbor Anchorage B,2aaf1bf294f18ac2b674285ae63d887da23426d61680035ce5b7bb657377c250
477131300,2024-12-28 11:55:38+01:00,33.72892,-118.20541,0.1,257.3,65.0,314,Long Beach Harbor Anchorage B,9c97cbbcb4a5ae9d4e35b3644209917cf2bb0b28399bd7a4897ccf2410caa4eb
477131300,2024-12-28 11:58:38+01:00,33.72892,-118.20542,0.1,276.6,65.0,314,Long Beach Harbor Anchorage B,9dcd20f12a825058855d3407417d74b5920c66be58868cdc3d130e6e02bc7e48
477131300,2024-12-28 12:01:38+01:00,33.72892,-118.20545,0.1,266.1,66.0,314,Long Beach Harbor Anchorage B,99008f85ff9844b1d7da7b86b78133cb30d223ea3c632814d6e7ff23fc6b8ae2
477131300,2024-12-28 12:04:38+01:00,33.72895,-118.20543,0.0,293.1,67.0,314,Long Beach Harbor Anchorage B,eeeb3dda7e93cf86c4aef5df5dca0952e7c2e25fb5709bfb461636a239535688
